question_id,question,ground_truth,generated_answer,latency_seconds,score,reasoning
69,"Để miễn thi Giáo dục thể chất, sinh viên cần điều kiện gì?","Sinh viên có vấn đề về sức khỏe không thể tham gia học, hoặc đã tích lũy học phần có cùng nội dung ở một trường đại học khác.","Để được miễn thi môn **Giáo dục thể chất (GDTC)**, sinh viên phải đáp ứng **một trong các điều kiện sau** (theo các nguồn quy định của Trường):

1. **Có chứng chỉ GDTC tương đương với bậc đào tạo hiện tại**  
   - Chứng chỉ cùng bậc → được miễn thi ngay.  
   - Chứng chỉ thấp hơn → phòng Đào tạo sẽ xem xét miễn thi các học phần tương ứng.

2. **Đã hoàn thành học phần GDTC có nội dung tương tự tại trường đại học/cao đẳng khác**  
   - Nộp bảng điểm và bản sao bằng tốt nghiệp của trường đã học để phòng Đào tạo xem xét miễn thi.

3. **Có vấn đề sức khỏe không cho phép tham gia học hoặc thực hành GDTC**  
   - Nộp đơn xin miễn thi (hoặc miễn thi phần thực hành) kèm giấy chứng nhận bệnh viện và xác nhận của trạm y tế trường.  
   - Đối với phần thực hành GDTC, sinh viên cần liên hệ Trung tâm Giáo dục Thể chất để được tư vấn trước khi đăng ký online.

**Lưu ý:** Trước khi thực hiện đăng ký online, sinh viên cần liên hệ Trung tâm Giáo dục Thể chất của trường để được tư vấn các học phần được miễn. Sau khi nộp hồ sơ, sinh viên theo dõi kết quả duyệt trên mục “Thông báo cá nhân” của hệ thống.",14.15,6.0,"Câu trả lời của AI bao gồm hai điều kiện đúng theo chuẩn: (1) có vấn đề sức khỏe không cho phép tham gia GDTC và (2) đã tích lũy học phần có nội dung tương tự ở trường đại học khác. Tuy nhiên, AI còn thêm một điều kiện thứ ba là ""có chứng chỉ GDTC tương đương"" – thông tin này không có trong chuẩn và có thể gây hiểu lầm. Vì có phần thông tin đúng nhưng cũng có phần không chính xác, nên điểm nằm trong khoảng 4‑7, tôi cho 6 điểm."
70,Chứng chỉ VSTEP bậc mấy thì được miễn thi ngoại ngữ đầu ra (không chuyên ngữ)?,VSTEP Bậc 3.,Chứng chỉ VSTEP **bậc 3** là mức đáp ứng điều kiện để được miễn thi ngoại ngữ đầu ra (không chuyên ngữ).,1.5,10.0,"Câu trả lời của AI nêu đúng mức bậc của chứng chỉ VSTEP (bậc 3) là tiêu chí để được miễn thi ngoại ngữ đầu ra (không chuyên ngữ), hoàn toàn khớp với đáp án chuẩn và không thiếu chi tiết quan trọng."
71,Mức học phí cho khối ngành Kiến trúc và quy hoạch khóa 2024 là bao nhiêu?,20.000.000 đồng/học kỳ (áp dụng cho hệ chính quy bậc đại học chương trình chuẩn).,Mức học phí cho khối ngành **Kiến trúc và quy hoạch** ở khóa **2024** là **20.000.000 đồng mỗi học kỳ**. (Theo bảng “Mức học phí” trong nguồn #3.),1.32,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: mức học phí cho khối ngành Kiến trúc và quy hoạch khóa 2024 là 20.000.000 đồng mỗi học kỳ, hoàn toàn khớp với Ground Truth."
72,Học phí học lại cho hệ vừa làm vừa học là bao nhiêu?,910.000 đồng/tín chỉ.,Học phí học lại cho hệ vừa làm vừa học là **910.000 đồng mỗi tín chỉ**.,6.51,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với đáp án chuẩn là 910.000 đồng/tín chỉ."
73,Sinh viên chương trình Sư phạm Kỹ thuật đóng lệ phí làm bằng tốt nghiệp bao nhiêu?,180.000 VNĐ (áp dụng cho sinh viên học chương trình Sư phạm kỹ thuật có chứng chỉ sư phạm).,Sinh viên chương trình Sư phạm Kỹ thuật phải đóng lệ phí làm bằng tốt nghiệp là **180.000 đồng**.,11.4,10.0,"Câu trả lời của AI nêu đúng số tiền lệ phí làm bằng tốt nghiệp cho sinh viên chương trình Sư phạm Kỹ thuật là 180.000 VNĐ, hoàn toàn khớp với chuẩn. Không có thiếu sót hay sai lệch."
74,Sinh viên nộp chứng chỉ ngoại ngữ tại đâu?,"Sinh viên đăng ký trực tuyến qua trang online của trường (https://online.hcmute.edu.vn), tại mục 'Chức năng trực tuyến', chọn 'Đăng ký các mẫu đơn'.","Sinh viên nộp chứng chỉ ngoại ngữ **trên hệ thống trực tuyến của trường**: truy cập https://online.hcmute.edu.vn → mục “Chức năng trực tuyến/Đăng ký các mẫu đơn”, chọn loại đăng ký “chuyển điểm ngoại ngữ” hoặc “miễn thi ngoại ngữ” và tải lên file scan chứng chỉ.",1.22,9.0,"Câu trả lời của AI truyền đạt đúng địa chỉ và các bước chính như trong chuẩn: truy cập https://online.hcmute.edu.vn, vào mục 'Chức năng trực tuyến' → 'Đăng ký các mẫu đơn'. Ngoài ra AI còn bổ sung chi tiết về việc chọn loại đăng ký (chuyển điểm ngoại ngữ hoặc miễn thi ngoại ngữ) và tải lên file scan, không gây sai lệch. Vì có thông tin chính xác và chi tiết hơn nên được chấm 9 điểm."
75,Nếu sinh viên nộp chứng chỉ Aptis ESOL B1 thì được miễn học phần nào?,Sinh viên đạt chứng chỉ Aptis ESOL General (mức điểm 102-149) hoặc Aptis ESOL Advanced (mức điểm 74-85) sẽ được miễn học phần Kỹ năng giao tiếp tiếng Anh 2.,"Nếu sinh viên nộp chứng chỉ **Aptis ESOL B1**, trường cho phép **miễn học phần “Kỹ năng giao tiếp tiếng Anh 2”**.",1.58,2.0,"Câu trả lời của AI khẳng định rằng chứng chỉ Aptis ESOL B1 sẽ được miễn học phần Kỹ năng giao tiếp tiếng Anh 2, trong khi chuẩn đề cập chỉ đến Aptis ESOL General (điểm 102‑149) hoặc Aptis ESOL Advanced (điểm 74‑85). AI đã đưa ra thông tin không đúng, thiếu chi tiết quan trọng và gây hiểu lầm, do đó chỉ đạt điểm thấp."
76,Mã học phần của Kỹ năng giao tiếp tiếng Anh 2 là gì?,ENCS240026.,Mã học phần của **Kỹ năng giao tiếp tiếng Anh 2** là **ENCS240026**.,5.72,10.0,"Câu trả lời của AI cung cấp đúng mã học phần ENCS240026, trùng khớp hoàn toàn với chuẩn, không thiếu chi tiết hay sai sót."
77,Sinh viên có được phép rút bớt học phần trong thời gian ưu tiên đăng ký không?,"Tài liệu không quy định cấm việc rút bớt học phần trong thời gian ưu tiên. Tuy nhiên, lưu ý rằng trong thời gian này, sinh viên KHÔNG được phép đăng ký học các học phần cải thiện và học phần ngoài chương trình đào tạo.",Tôi không tìm thấy.,12.75,2.0,"Câu trả lời của AI chỉ nói 'Tôi không tìm thấy' mà không cung cấp bất kỳ thông tin nào liên quan đến việc rút bớt học phần trong thời gian ưu tiên đăng ký. So với chuẩn, AI hoàn toàn thiếu nội dung cần thiết và không truyền đạt đúng ý chính."
78,Thời gian chỉnh sửa đăng ký học phần đợt 1 HKI 2025-2026?,Từ 09h00 ngày 19/8/2025 đến 07h30 ngày 25/8/2025.,Thời gian chỉnh sửa đăng ký học phần **đợt 1** (HKI 2025‑2026) là từ **09:00 ngày 19/08/2025** đến **07:30 ngày 25/08/2025**.,10.41,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với Ground Truth về thời gian chỉnh sửa đăng ký học phần đợt 1 HKI 2025-2026."
79,Hệ CLC tiếng Việt khóa 2023 học phí bao nhiêu một tín chỉ?,Khóa 2023 hệ chất lượng cao có mức học phí là 1.237.000 đồng/tín chỉ (đối với Khối ngành công nghệ kỹ thuật - sản xuất chế biến) và 1.189.000 đồng/tín chỉ (đối với Khối ngành khoa học xã hội - quản lý kinh doanh).,"Theo bảng học phí (Nguồn #2) đối với **hệ CLC tiếng Việt, khóa 2023**:

- **Khối ngành công nghệ kỹ thuật – sản xuất chế biến:** 1.237.000 đồng / tín chỉ  
- **Khối ngành khoa học xã hội – quản lý kinh doanh:** 1.189.000 đồng / tín chỉ  

Vì vậy, mức học phí một tín chỉ cho hệ CLC tiếng Việt khóa 2023 là **1.237.000 đồng** (đối với ngành kỹ thuật) và **1.189.000 đồng** (đối với ngành xã hội).",1.98,10.0,"Câu trả lời của AI truyền đạt đầy đủ và chính xác cả hai mức học phí một tín chỉ cho hệ CLC tiếng Việt khóa 2023, khớp hoàn toàn với chuẩn: 1.237.000 đồng/tín chỉ cho khối công nghệ kỹ thuật - sản xuất chế biến và 1.189.000 đồng/tín chỉ cho khối khoa học xã hội - quản lý kinh doanh."
80,Trường hợp nào sinh viên được tạm hoãn học môn GDQP&AN?,Sinh viên vì lý do sức khỏe phải dừng học thời gian dài để điều trị (phải có giấy xác nhận của bệnh viện) hoặc sinh viên nữ đang mang thai/nghỉ chế độ thai sản.,"Sinh viên được tạm hoãn học môn Giáo dục quốc phòng & An ninh (GDQP&AN) trong các trường hợp sau:

1. **Lý do sức khỏe**: sinh viên phải dừng học trong thời gian dài để điều trị bệnh, kèm theo giấy xác nhận của bệnh viện nơi sinh viên đang điều trị.  
2. **Thai sản**: sinh viên nữ đang mang thai hoặc đang trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.",1.6,10.0,Câu trả lời của AI truyền đạt đầy đủ và chính xác các trường hợp được tạm hoãn học môn GDQP&AN: (1) vì lý do sức khỏe cần dừng học dài hạn và có giấy xác nhận bệnh viện; (2) sinh viên nữ mang thai hoặc đang nghỉ chế độ thai sản. Không thiếu chi tiết quan trọng và không có thông tin sai.
81,Thời gian nộp hình làm bằng tốt nghiệp cho sinh viên Sư phạm Kỹ thuật?,Từ ngày 03/10/2025 đến ngày 15/10/2025.,Thời gian nộp hình cho sinh viên chương trình Sư phạm Kỹ thuật là từ **03/10/2025 đến 15/10/2025**.,5.11,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với đáp án chuẩn: thời gian nộp hình làm bằng tốt nghiệp cho sinh viên Sư phạm Kỹ thuật là từ ngày 03/10/2025 đến ngày 15/10/2025."
82,Tài khoản ngân hàng để đóng lệ phí tốt nghiệp là gì?,Số tài khoản: 3141757777 tại ngân hàng BIDV - chi nhánh Đông Sài Gòn.,"Tài khoản ngân hàng để đóng lệ phí tốt nghiệp:

- **Tên tài khoản:** Trường Đại học Sư phạm Kỹ thuật TP.HCM  
- **Số tài khoản:** 3141757777  
- **Ngân hàng:** BIDV – chi nhánh Đông Sài Gòn  ",1.28,10.0,"Câu trả lời của AI cung cấp đầy đủ thông tin yêu cầu: số tài khoản 3141757777 và ngân hàng BIDV chi nhánh Đông Sài Gòn, đồng thời bổ sung tên tài khoản mà không gây sai lệch. Do đó đáp ứng chuẩn 8-10 điểm."
83,Sinh viên có thể đăng ký môn học tại đâu ngoài phòng máy trường?,Tại tất cả các máy tính có nối mạng Internet trong hoặc ngoài trường.,"Sinh viên có thể đăng ký học phần qua mạng tại **bất kỳ máy tính nào có kết nối Internet**, dù là trong trường hay ở ngoài trường. (Nguồn #2, #3)",2.22,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khẳng định sinh viên có thể đăng ký môn học tại bất kỳ máy tính nào có kết nối Internet, dù trong hay ngoài trường, hoàn toàn phù hợp với đáp án chuẩn."
84,Nếu quên mật khẩu email sinh viên thì liên hệ ai?,Liên hệ thầy Nguyễn Hà (Trung tâm Thông tin Máy tính) qua ĐT: 0913.889.739 hoặc Email: haspkt@hcmute.edu.vn.,"Nếu quên mật khẩu email sinh viên, bạn nên liên hệ **Trung tâm Thông tin, máy tính** của trường.

**Thông tin liên hệ**  
- **Email:** ic@hcmute.edu.vn  
- **Điện thoại:** 028 3722 1223 ext. 8510  
- **Hotline:** 0913 889 739 (T. Hà)  
- **Vị trí:** Phòng A5.101 (tầng 1 Khu A5); A1.1107 (tầng 11), Tòa nhà trung tâm.  

Trung tâm chịu trách nhiệm “cấp lại mật khẩu email khi cần thiết”.",1.42,6.0,"Câu trả lời cung cấp thông tin liên hệ đúng số điện thoại và nhắc tới Thầy Hà, nhưng email được đưa ra là ic@hcmute.edu.vn thay vì email chuẩn haspkt@hcmute.edu.vn. Do đó có một phần thông tin sai, mặc dù phần lớn nội dung (liên hệ Trung tâm Thông tin Máy tính) là đúng."
85,Hạn chót nộp đơn xin thay thế môn học đợt 2 là ngày nào?,Hết ngày 01/11/2025.,Hạn chót nộp đơn xin thay thế môn học đợt 2 là **ngày 01/11/2025**.,1.02,10.0,"Câu trả lời của AI hoàn toàn khớp với chuẩn: nó nêu đúng ngày hết hạn là 01/11/2025, không thiếu chi tiết hay sai sót nào."
86,Điểm tổng kết học phần Kỹ năng giao tiếp tiếng Anh có tính vào điểm trung bình tích lũy không?,Không tính vào điểm trung bình học kỳ và điểm trung bình tích lũy.,"Không, điểm tổng kết học phần Kỹ năng giao tiếp tiếng Anh không tính vào điểm trung bình tích lũy. (Theo nguồn #1)",0.93,6.0,"Câu trả lời của AI đúng phần lớn, khẳng định rằng điểm tổng kết không tính vào điểm trung bình tích lũy, nhưng thiếu thông tin quan trọng là không tính vào điểm trung bình học kỳ. Do thiếu chi tiết này, đáp án không hoàn toàn đúng nên được chấm ở mức 4-7 điểm."
87,Sĩ số lớp học phần Kỹ năng giao tiếp tiếng Anh là bao nhiêu?,Khoảng từ 20 đến 30 sinh viên.,Sĩ số mỗi lớp học phần Kỹ năng giao tiếp tiếng Anh khoảng **20 – 30 sinh viên**.,1.55,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp với đáp án chuẩn ""Khoảng từ 20 đến 30 sinh viên"". Nội dung đầy đủ, không có sai sót."
88,Sinh viên khóa 2019 trở về trước xét tốt nghiệp cần điểm TOEIC 2 kỹ năng bao nhiêu?,"Đối với sinh viên không thuộc các ngành chuyên ngoại ngữ: 450 điểm (khóa 2012, 2013) hoặc 500 điểm (từ khóa 2014 trở đi).","Sinh viên khóa 2019 trở về trước (tức là các khóa từ 2014 trở lên) cần đạt **500 điểm** trong bài thi TOEIC 2 kỹ năng (đọc‑nghe) để xét tốt nghiệp.  

*Tham khảo: nguồn #1 và nguồn #2, mục “Trình độ Tiếng Anh” – “500 điểm của bài thi TOEIC 2 kỹ năng đọc và nghe (áp dụng từ khóa 2014 trở đi)”.*",11.1,10.0,"Câu trả lời của AI cung cấp đúng thông tin yêu cầu: sinh viên khóa 2019 trở về trước (từ khóa 2014 trở lên) cần đạt 500 điểm TOEIC 2 kỹ năng để xét tốt nghiệp, phù hợp với chuẩn. Không có chi tiết sai hoặc thiếu sót."
89,Sinh viên hệ đại trà khóa 2022 đăng ký học phần vào đợt mấy?,Đợt 2 (Từ 09g00 ngày 12/8/2025).,Sinh viên hệ đại trà khóa 2022 đăng ký học phần vào **đợt 2**.,1.88,8.0,"Câu trả lời của AI đúng về việc sinh viên hệ đại trà khóa 2022 đăng ký học phần vào đợt 2, đáp ứng ý chính. Tuy nhiên, AI không cung cấp chi tiết thời gian cụ thể (09g00 ngày 12/8/2025) như trong chuẩn, nên không đạt điểm tối đa."
90,Phí kéo dài luận văn tốt nghiệp cho học viên cao học là bao nhiêu?,1.000.000 đồng/tháng.,Phí kéo dài luận văn/đề án tốt nghiệp cho học viên cao học là **1.000.000 đồng mỗi tháng**.,1.27,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với đáp án chuẩn là 1.000.000 đồng mỗi tháng."
91,Học phí chương trình liên kết với Đại học Sunderland năm 4 là bao nhiêu?,170.000.000 đồng/năm học (đối với Khóa 2025).,Tôi không tìm thấy.,1.32,1.0,"Câu trả lời của AI là 'Tôi không tìm thấy', trong khi đáp án chuẩn đã có sẵn là 170.000.000 đồng/năm học. AI không cung cấp thông tin đúng, thậm chí còn thiếu hoàn toàn câu trả lời yêu cầu, nên chỉ đạt mức 1 điểm."
92,Quy định số lượng tối thiểu để mở lớp cho hệ Đại học chính quy tiếng Việt là bao nhiêu?,30 sinh viên/lớp.,"**Số lượng sinh viên tối thiểu để mở lớp cho hệ Đại học chính quy (tiếng Việt) là 20 sinh viên.**  

- Đối với các môn chuyên ngành hẹp (lý thuyết) và các môn thực tập/thí nghiệm xưởng của học phần đại cương, cơ sở ngành, quy định yêu cầu ít nhất **20 sinh viên**.  
- Các môn khác (đại cương, chính trị; thực tập GDQP; thực hành thể chất…) có mức tối thiểu cao hơn, nên mức thấp nhất chung cho toàn hệ là 20 sinh viên.",2.45,2.0,"Câu trả lời của AI không đúng với chuẩn. Chuẩn quy định số lượng tối thiểu để mở lớp cho hệ Đại học chính quy tiếng Việt là 30 sinh viên/lớp, trong khi AI đưa ra con số 20 sinh viên và giải thích chi tiết không liên quan. Do sai hoàn toàn về con số chính, điểm chỉ ở mức 1-3."
93,Sinh viên xem kết quả duyệt đơn miễn thi GDTC ở đâu?,"Trên trang online, tại mục ""Thông báo cá nhân"".","Sinh viên tra kết quả duyệt đơn miễn thi GDTC trên trang online của trường, mục **“Thông báo cá nhân.”**",1.07,10.0,"Câu trả lời của AI hoàn toàn khớp với chuẩn: chỉ ra rằng sinh viên xem kết quả duyệt đơn miễn thi GDTC trên trang online của trường, mục “Thông báo cá nhân”. Thông tin đúng, đầy đủ và không có sai sót."
94,Thời gian công bố kết quả duyệt đơn điểm I đợt 1?,Dự kiến ngày 12/11/2025.,Thời gian công bố kết quả duyệt đơn điểm I đợt 1 dự kiến là ngày **12 / 11 / 2025**.,0.95,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với Ground Truth: ngày 12/11/2025."
95,Sinh viên lớp CLC có được đăng ký học với lớp Đại trà không?,Không được phép. Các trường hợp đặc biệt phải làm đơn và được sự đồng ý của Ban Chủ nhiệm khoa quản ngành và phòng Đào tạo.,"Không. Sinh viên hệ CLC không được đăng ký học với các lớp Đại trà (và ngược lại), trừ những trường hợp đặc biệt đã được làm đơn và được sự đồng ý của Ban Chấp hành khoa, quản ngành và phòng Đào tạo.",4.33,9.0,"Câu trả lời của AI truyền đạt đúng ý chính: sinh viên CLC không được đăng ký học với lớp Đại trà, chỉ được phép trong các trường hợp đặc biệt có giấy đề nghị và được sự đồng ý của các bộ phận quản lý. Nội dung gần giống với chuẩn, chỉ có sự khác biệt nhỏ trong cách gọi ban (Ban Chấp hành khoa vs Ban Chủ nhiệm khoa) và một câu bổ sung không sai, nên vẫn đạt điểm cao."
96,Học phí môn Giáo dục thể chất được tính như thế nào đối với khóa 2025?,853.000 đồng/Tín chỉ.,"Học phí chung của khóa 2025 không bao gồm các học phần Giáo dục quốc phòng‑An ninh (GDQP&AN) và Giáo dục thể chất (GDTC). Các học phần này được tính phí riêng, mức phí là **853.000 đồng mỗi tín chỉ**.",11.53,10.0,"Câu trả lời của AI truyền đạt đúng thông tin chuẩn: mức học phí cho môn Giáo dục thể chất là 853.000 đồng mỗi tín chỉ, không có sai sót hay thiếu sót quan trọng."
97,Sinh viên nộp chứng chỉ ngoại ngữ trong khoảng thời gian nào của học kỳ?,Sinh viên nộp chứng chỉ ngoại ngữ theo thông báo của Phòng Đào tạo đầu mỗi học kỳ. Cụ thể trong HK1/2025-2026: Sinh viên khóa 2025 nộp từ 08/09 đến 19/09/2025. Sinh viên các khóa khác nộp đợt 1 trong 1 tuần đầu học kỳ (11/08 - 16/08/2025) hoặc đợt 2 (27/10 - 01/11/2025).,"Sinh viên có thể nộp chứng chỉ ngoại ngữ trong **hai đợt** trong học kỳ 01/2025‑2026:

1. **Đợt 1:** từ **11/08/2025** đến **16/08/2025** (tuần đầu của học kỳ).  
2. **Đợt 2:** từ **27/10/2025** đến **01/11/2025** (tuần thứ 2 của học kỳ).",11.11,5.0,"Câu trả lời của AI nêu đúng hai khoảng thời gian chung (11/08‑16/08 và 27/10‑01/11) cho các khóa ngoại trừ khóa 2025, nhưng bỏ qua thông tin quan trọng về sinh viên khóa 2025 phải nộp trong khoảng 08/09‑19/09/2025. Vì thiếu chi tiết quan trọng nên chỉ đạt mức trung bình."
98,Điểm I là gì?,"Điểm chưa hoàn thiện do được phép hoãn thi, kiểm tra.",**Điểm I** là ký hiệu trên bảng điểm (dấu “:I”) được cấp cho sinh viên không tham gia kỳ thi do ốm bệnh hoặc lý do chính đáng. Đây là điểm tạm thời; sinh viên sẽ được trả điểm thực tế sau khi hoàn thành thi lại (trong tối đa hai học kỳ tiếp theo).,2.31,9.0,"Câu trả lời của AI truyền đạt đúng ý chính: Điểm I là điểm chưa hoàn thiện do được phép hoãn thi, kiểm tra. Ngoài ra AI còn bổ sung chi tiết về ký hiệu và thời gian hoàn thành lại, không gây sai lệch, vì vậy đáp ứng tiêu chí 8-10 điểm."
99,Sinh viên có thể trả nợ điểm I trong bao lâu?,Trong tối đa hai học kỳ tiếp theo.,Tôi không tìm thấy.,1.7,1.0,"Câu trả lời của AI là 'Tôi không tìm thấy', không cung cấp thông tin đúng về thời gian trả nợ điểm I. So với chuẩn 'Trong tối đa hai học kỳ tiếp theo', AI hoàn toàn sai và không liên quan, nên chỉ được 1 điểm."
100,Học phí chương trình liên kết Đại học Tongmyong khóa 2025 học lần đầu là bao nhiêu?,80.000.000 đồng/năm học.,"Học phí chương trình liên kết với Đại học Tongmyong (Hàn Quốc) cho khóa 2025, học lần đầu là **80.000.000 đồng/năm học**.",2.64,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và cung cấp thông tin chuẩn là 80.000.000 đồng/năm học, hoàn toàn khớp với Ground Truth."
101,ngành ktdl tổng bn tc z,"Ngành Kỹ thuật dữ liệu (KTDL) có tổng khối lượng kiến thức toàn khóa là 150 tín chỉ (không bao gồm khối kiến thức Ngoại ngữ, Giáo dục thể chất và Giáo dục quốc phòng).",Tổng số tín chỉ của ngành Kỹ Thuật Dữ Liệu (KTDL) là **150 tín chỉ**.,1.23,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn về tổng số tín chỉ của ngành Kỹ thuật dữ liệu là 150 tín chỉ. Tuy nhiên, AI không đề cập đến lưu ý rằng con số này không bao gồm các khối kiến thức Ngoại ngữ, Giáo dục thể chất và Giáo dục quốc phòng, nên mất một phần chi tiết quan trọng."
102,dkmh bổ sung đợt 2 hki 25-26 mở lúc nào,Thời gian đăng ký học phần bổ sung qua mạng đợt 2 cho HKI 2025-2026 là từ 09g00 ngày 27/10/2025 đến 07g30 ngày 03/11/2025.,**Đợt 2** đăng ký học phần bổ sung cho học kỳ I năm học 2025‑2026 mở **từ 09:00 ngày 28/10/2025** và kết thúc **07:30 ngày 03/11/2025**.,2.27,5.0,"Câu trả lời của AI gần đúng về thời gian kết thúc nhưng ngày bắt đầu sai (nên là 27/10/2025 mà AI ghi là 28/10/2025). Vì có sai lệch một phần quan trọng nên chỉ đạt mức trung bình, nằm trong khoảng 4‑7 điểm."
103,đk avđr đợt tháng 11/2025 ở đâu,Sinh viên đăng ký trực tiếp tại phòng A1-202 (Tòa nhà Trung tâm).,Tôi không tìm thấy.,0.91,1.0,"Câu trả lời của AI chỉ nói 'Tôi không tìm thấy' mà không cung cấp địa điểm đăng ký, trái hoàn toàn với đáp án chuẩn là 'Sinh viên đăng ký trực tiếp tại phòng A1-202 (Tòa nhà Trung tâm)'. Do đó AI không truyền đạt đúng ý chính và thông tin chuẩn."
104,kltn kéo dài đóng thêm nhiu tiền,Mức thu học phí kéo dài luận văn/đề án tốt nghiệp là 1.000.000 đồng/tháng.,Tôi không tìm thấy.,1.56,1.0,"Câu trả lời của AI chỉ nói 'Tôi không tìm thấy' mà không cung cấp thông tin đúng về mức thu học phí kéo dài luận văn/đề án tốt nghiệp (1.000.000 đồng/tháng). Do đó, câu trả lời hoàn toàn sai và không liên quan tới chuẩn."
105,sv clc đk lớp đại trà dc ko,Không được phép. Sinh viên hệ Chất lượng cao (CLC) không được đăng ký học với các lớp Đại trà hoặc ngược lại. Các trường hợp đặc biệt phải làm đơn và được sự đồng ý của Ban Chủ nhiệm khoa quản ngành và Phòng Đào tạo.,"Không. Sinh viên hệ CLC không được đăng ký học với các lớp Đại trà (và ngược lại), trừ khi có đơn xin và được sự đồng ý của Ban Chấp hành khoa quản ngành và phòng Đào tạo.",6.87,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên CLC không được đăng ký lớp Đại trà, trừ khi có đơn và được sự đồng ý của bộ phận quản lý. Chỉ có sự khác biệt nhỏ trong cách gọi ban (Ban Chấp hành vs Ban Chủ nhiệm) nhưng không ảnh hưởng đến nội dung quan trọng."
106,quên mk mail sv gọi ai,"Bạn có thể liên hệ Thầy Nguyễn Hà tại Trung tâm Thông tin Máy tính (Điện thoại: 0913.889.739, Email: haspkt@hcmute.edu.vn) để được hỗ trợ.","Bạn nên liên hệ **Trung tâm Thông tin – Máy tính (IIC)**, đơn vị chịu trách nhiệm cấp và quản lý địa chỉ email của trường và hỗ trợ đổi lại mật khẩu.

- **Điện thoại:** 028 3722 1223 ext. 8510  
- **Hotline:** 0913 889 739 (T. Hà)  
- **Email:** ic@hcmute.edu.vn  

Họ sẽ giúp bạn khôi phục/mật khẩu email sinh viên.",12.55,6.0,"Câu trả lời của AI cung cấp thông tin liên hệ với Trung tâm Thông tin – Máy tính và số điện thoại 0913.889.739 (cùng với tên Thầy Hà), phù hợp với phần lớn yêu cầu. Tuy nhiên, email được đưa ra (ic@hcmute.edu.vn) không khớp với email chuẩn (haspkt@hcmute.edu.vn) trong Ground Truth, nên thiếu một chi tiết quan trọng. Do đó, câu trả lời chưa hoàn toàn đúng nhưng vẫn truyền đạt được ý chính và phần lớn thông tin cần thiết."
107,ccnn nộp lúc nào hki 25-26,"Đối với sinh viên khóa 2025, thời gian nhận chứng chỉ ngoại ngữ (CCNN) là từ ngày 08/9/2025 đến hết ngày 19/9/2025.","Theo thông báo, thời gian nhận chứng chỉ ngoại ngữ (CCNN) để xin miễn thi, chuyển điểm cho HKI 25‑26 là **từ ngày 08/09/2025 đến hết ngày 19/09/2025**.",13.31,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khớp hoàn toàn với đáp án chuẩn: thời gian nhận chứng chỉ ngoại ngữ (CCNN) cho HKI 25‑26 là từ ngày 08/09/2025 đến hết ngày 19/09/2025."
108,cảnh báo hv 3 lần bị j,Sinh viên sẽ bị buộc thôi học nếu có 3 lần cảnh báo học tập liên tiếp.,"Theo quy định (Nguồn #1, mục 7.2 a), sinh viên nhận **3 lần cảnh báo học tập liên tiếp** sẽ bị **buộc thôi học** (được coi là bị trừ khỏi danh sách sinh viên).",1.27,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên nhận 3 lần cảnh báo học tập liên tiếp sẽ bị buộc thôi học, giống hệt với chuẩn."
109,1 kì dktc tối đa mấy tc,Khối lượng học tập tối đa của sinh viên trong mỗi học kỳ không vượt quá 28 tín chỉ.,Tối đa 28 tín chỉ cho một kỳ học.,1.17,9.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn, khẳng định rằng tối đa 28 tín chỉ cho một kỳ học, phù hợp với chuẩn đề ra."
110,đtbtl năm 1 bn thì bị thử thách học tập,"Sinh viên trình độ năm thứ nhất sẽ bị đưa vào diện thử thách học tập nếu Điểm trung bình tích lũy (ĐTBTL) đạt dưới 1,2.","Sinh viên năm thứ nhất sẽ bị đưa vào **thử thách học tập** nếu ĐTBTL **dưới 1,2**.",2.16,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: sinh viên năm thứ nhất sẽ bị đưa vào thử thách học tập nếu ĐTBTL dưới 1,2, hoàn toàn khớp với chuẩn."
